dir,movement_label,movement_value
./../data/trailer_zoom/tt0444850_shot_0014.mp4,Push,2
./../data/trailer_zoom/tt0444850_shot_0015.mp4,Push,2
./../data/trailer_zoom/tt0444850_shot_0016.mp4,Push,2
./../data/trailer_zoom/tt2005173_shot_0002.mp4,Push,2
./../data/trailer_zoom/tt2005173_shot_0014.mp4,Push,2
./../data/trailer_zoom/tt2005173_shot_0022.mp4,Push,2
./../data/trailer_zoom/tt2005173_shot_0042.mp4,Push,2
./../data/trailer_zoom/tt2005185_shot_0033.mp4,Push,2
./../data/trailer_zoom/tt2005185_shot_0057.mp4,Push,2
./../data/trailer_zoom/tt2006040_shot_0002.mp4,Push,2
./../data/trailer_zoom/tt2006040_shot_0006.mp4,Push,2
./../data/trailer_zoom/tt2006040_shot_0052.mp4,Push,2
./../data/trailer_zoom/tt2006040_shot_0054.mp4,Push,2
./../data/trailer_zoom/tt2006802_shot_0010.mp4,Push,2
./../data/trailer_zoom/tt2006802_shot_0011.mp4,Push,2
./../data/trailer_zoom/tt2006810_shot_0004.mp4,Push,2
./../data/trailer_zoom/tt2006810_shot_0008.mp4,Push,2
./../data/trailer_zoom/tt2006810_shot_0027.mp4,Push,2
./../data/trailer_zoom/tt2006810_shot_0038.mp4,Push,2
./../data/trailer_zoom/tt2007421_shot_0042.mp4,Push,2
./../data/trailer_zoom/tt2008513_shot_0012.mp4,Push,2
./../data/trailer_zoom/tt2008513_shot_0025.mp4,Push,2
./../data/trailer_zoom/tt2008513_shot_0033.mp4,Push,2
./../data/trailer_zoom/tt2008513_shot_0044.mp4,Push,2
./../data/trailer_zoom/tt2008513_shot_0045.mp4,Push,2
./../data/trailer_zoom/tt2008655_shot_0024.mp4,Push,2
./../data/trailer_zoom/tt2008655_shot_0037.mp4,Push,2
./../data/trailer_zoom/tt2008655_shot_0043.mp4,Push,2
./../data/trailer_zoom/tt2008655_shot_0044.mp4,Push,2
./../data/trailer_zoom/tt2008655_shot_0065.mp4,Push,2
./../data/trailer_zoom/tt2008655_shot_0072.mp4,Push,2
./../data/trailer_zoom/tt2010939_shot_0015.mp4,Push,2
./../data/trailer_zoom/tt2011138_shot_0006.mp4,Push,2
./../data/trailer_zoom/tt2011159_shot_0076.mp4,Push,2
./../data/trailer_zoom/tt2011159_shot_0106.mp4,Push,2
./../data/trailer_zoom/tt2011300_shot_0004.mp4,Push,2
./../data/trailer_zoom/tt2011300_shot_0010.mp4,Push,2
./../data/trailer_zoom/tt2011300_shot_0026.mp4,Push,2
./../data/trailer_zoom/tt2011300_shot_0051.mp4,Push,2
./../data/trailer_zoom/tt2011953_shot_0008.mp4,Push,2
./../data/trailer_zoom/tt2011961_shot_0009.mp4,Push,2
./../data/trailer_zoom/tt2011961_shot_0066.mp4,Push,2
./../data/trailer_zoom/tt2011961_shot_0078.mp4,Push,2
./../data/trailer_zoom/tt2011961_shot_0083.mp4,Push,2
./../data/trailer_zoom/tt2012011_shot_0007.mp4,Push,2
./../data/trailer_zoom/tt2012011_shot_0021.mp4,Push,2
./../data/trailer_zoom/tt2012011_shot_0026.mp4,Push,2
./../data/trailer_zoom/tt2012011_shot_0028.mp4,Push,2
./../data/trailer_zoom/tt2012011_shot_0033.mp4,Push,2
./../data/trailer_zoom/tt2012011_shot_0046.mp4,Push,2
./../data/trailer_zoom/tt2012011_shot_0053.mp4,Push,2
./../data/trailer_zoom/tt2012665_shot_0010.mp4,Push,2
./../data/trailer_zoom/tt2012665_shot_0039.mp4,Push,2
./../data/trailer_zoom/tt2012665_shot_0044.mp4,Push,2
./../data/trailer_zoom/tt2012665_shot_0071.mp4,Push,2
./../data/trailer_zoom/tt2012665_shot_0083.mp4,Push,2
./../data/trailer_zoom/tt2014225_shot_0005.mp4,Push,2
./../data/trailer_zoom/tt2014225_shot_0012.mp4,Push,2
./../data/trailer_zoom/tt2014225_shot_0021.mp4,Push,2
./../data/trailer_zoom/tt2014225_shot_0043.mp4,Push,2
./../data/trailer_zoom/tt2014248_shot_0021.mp4,Push,2
./../data/trailer_zoom/tt2014266_shot_0002.mp4,Push,2
./../data/trailer_zoom/tt2014266_shot_0019.mp4,Push,2
./../data/trailer_zoom/tt2014266_shot_0038.mp4,Push,2
./../data/trailer_zoom/tt2014266_shot_0050.mp4,Push,2
./../data/trailer_zoom/tt2014266_shot_0053.mp4,Push,2
./../data/trailer_zoom/tt2014319_shot_0030.mp4,Push,2
./../data/trailer_zoom/tt2014338_shot_0011.mp4,Push,2
./../data/trailer_zoom/tt2015366_shot_0009.mp4,Push,2
./../data/trailer_zoom/tt2015366_shot_0036.mp4,Push,2
./../data/trailer_zoom/tt2015370_shot_0022.mp4,Push,2
./../data/trailer_zoom/tt2015370_shot_0049.mp4,Push,2
./../data/trailer_zoom/tt2015370_shot_0054.mp4,Push,2
./../data/trailer_zoom/tt2015370_shot_0072.mp4,Push,2
./../data/trailer_zoom/tt2015370_shot_0089.mp4,Push,2
./../data/trailer_zoom/tt2015474_shot_0005.mp4,Push,2
./../data/trailer_zoom/tt2015474_shot_0007.mp4,Push,2
./../data/trailer_zoom/tt2015474_shot_0012.mp4,Push,2
./../data/trailer_zoom/tt2015474_shot_0014.mp4,Push,2
./../data/trailer_zoom/tt2015474_shot_0026.mp4,Push,2
./../data/trailer_zoom/tt2015474_shot_0027.mp4,Push,2
./../data/trailer_zoom/tt2015474_shot_0036.mp4,Push,2
./../data/trailer_zoom/tt2015474_shot_0051.mp4,Push,2
./../data/trailer_zoom/tt2015503_shot_0030.mp4,Push,2
./../data/trailer_zoom/tt2015503_shot_0067.mp4,Push,2
./../data/trailer_zoom/tt2017020_shot_0069.mp4,Push,2
./../data/trailer_zoom/tt2017038_shot_0013.mp4,Push,2
./../data/trailer_zoom/tt2017038_shot_0027.mp4,Push,2
./../data/trailer_zoom/tt2017561_shot_0012.mp4,Push,2
./../data/trailer_zoom/tt2017561_shot_0057.mp4,Push,2
./../data/trailer_zoom/tt2017561_shot_0061.mp4,Push,2
./../data/trailer_zoom/tt2017709_shot_0008.mp4,Push,2
./../data/trailer_zoom/tt2017709_shot_0009.mp4,Push,2
./../data/trailer_zoom/tt2017709_shot_0013.mp4,Push,2
./../data/trailer_zoom/tt2017709_shot_0018.mp4,Push,2
./../data/trailer_zoom/tt2018136_shot_0004.mp4,Push,2
./../data/trailer_zoom/tt2018136_shot_0010.mp4,Push,2
./../data/trailer_zoom/tt2018164_shot_0002.mp4,Push,2
./../data/trailer_zoom/tt2018164_shot_0011.mp4,Push,2
./../data/trailer_zoom/tt2023561_shot_0028.mp4,Push,2
./../data/trailer_zoom/tt2023561_shot_0033.mp4,Push,2
./../data/trailer_zoom/tt2023561_shot_0034.mp4,Push,2
./../data/trailer_zoom/tt2023561_shot_0037.mp4,Push,2
./../data/trailer_zoom/tt2023561_shot_0045.mp4,Push,2
./../data/trailer_zoom/tt2023618_shot_0015.mp4,Push,2
./../data/trailer_zoom/tt2023618_shot_0026.mp4,Push,2
./../data/trailer_zoom/tt2023620_shot_0023.mp4,Push,2
./../data/trailer_zoom/tt2023620_shot_0044.mp4,Push,2
